Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,86.96,29.49,100.00,17.41,26.57,57.93,76.06,80.20,98.31,11.25,58.42
claude-sonnet-4-20250514-thinking,86.46,25.58,99.40,17.41,15.01,49.29,43.87,77.81,97.75,15.06,52.76
deepseek-r1-250528,84.68,23.99,97.48,16.94,18.62,50.15,37.30,73.93,99.38,6.18,50.87
deepseek-reasoner,84.65,23.25,97.48,17.31,18.39,49.68,36.83,74.94,96.31,5.60,50.44
doubao-seed-1-6-250615,78.70,32.14,94.56,16.71,18.42,48.57,40.06,66.77,98.12,3.79,49.78
gemini-2.5-pro,50.74,32.24,98.19,15.88,12.84,49.55,40.90,79.71,93.56,21.59,49.52
doubao-1.5-thinking-pro-250415,84.65,31.18,90.13,17.11,14.09,39.93,39.30,76.92,95.75,5.81,49.49
glm-4.5,85.45,22.83,96.68,16.79,13.60,43.44,34.12,76.60,94.69,5.11,48.93
claude-3-7-sonnet-20250219-thinking,84.85,27.49,96.78,16.99,9.63,46.88,31.94,76.29,90.44,4.70,48.60
qwen3-32b,86.18,25.02,98.09,15.34,11.53,30.57,38.29,76.80,95.25,2.34,47.94
qwen3-235b-a22b,86.52,28.02,98.19,16.09,9.18,30.41,39.22,76.00,91.31,2.27,47.72
openrouter:grok-4,86.72,5.37,100.00,17.59,20.96,89.87,34.71,2.08,99.00,4.39,46.07
doubao-seed-1-6-thinking-250615,82.45,28.99,85.60,16.89,15.56,42.40,34.41,61.70,89.12,2.95,46.01
openrouter:gpt-oss-120b,75.12,7.72,91.84,18.51,13.29,41.25,51.00,72.41,86.50,2.10,45.97
claude-sonnet-4-20250514,75.12,26.04,75.93,16.79,5.80,37.34,31.52,75.25,86.06,4.60,43.45
gemini-2.5-flash,51.08,15.46,97.89,17.73,12.07,41.93,30.54,69.63,81.88,7.12,42.53
openrouter:qwq-32b,72.58,21.64,94.46,13.94,9.88,27.68,13.33,74.79,85.69,1.12,41.51
claude-3-7-sonnet-20250219,70.88,26.43,72.41,15.38,6.42,38.41,25.28,74.32,75.25,4.40,40.92
gpt-5-chat-2025-08-07,78.79,23.59,67.57,16.19,7.98,33.07,34.51,68.37,69.69,3.32,40.31
openrouter:grok-3-mini-beta,83.61,20.51,91.44,12.55,7.49,32.82,16.93,48.34,82.69,4.22,40.06
openrouter:gpt-oss-20b,83.23,0.97,76.74,17.05,5.87,37.68,46.09,48.96,82.31,0.44,39.93
openrouter:kimi-k2-0905,42.40,20.05,81.37,13.03,5.10,32.19,28.04,66.68,94.69,2.76,38.63
glm-4.5-air,85.08,15.25,93.55,13.85,9.26,34.56,14.47,30.55,80.94,0.38,37.79
gpt-4.1,66.35,21.38,45.02,17.33,6.52,31.37,24.22,71.40,66.31,1.32,35.12
doubao-seed-1-6-flash-250615,59.77,13.94,69.69,13.31,5.46,16.24,17.13,74.34,65.44,1.58,33.69
doubao-1.5-pro-32k-250115,53.97,19.26,62.34,8.49,6.31,29.32,17.01,75.33,60.25,0.86,33.31
deepseek-v3-1-250821,51.66,14.47,71.80,16.64,6.98,29.88,13.06,63.19,61.50,0.92,33.01
deepseek-chat,60.61,2.26,75.53,15.87,4.39,37.68,5.73,56.07,62.88,0.77,32.18
openrouter:mistral-small-3.1-24b-instruct,34.95,20.78,61.03,4.78,3.56,20.18,8.52,75.45,64.00,2.28,29.55
openrouter:gemma-3-27b-it,42.68,18.43,55.89,15.28,4.00,11.89,22.81,62.56,56.56,1.73,29.18
openrouter:llama-4-maverick,48.46,21.13,66.16,11.67,4.46,21.92,11.53,46.12,51.12,2.23,28.48
gpt-4o,27.19,15.83,20.04,8.24,2.60,26.93,13.48,64.94,51.75,1.48,23.25
